year,classification_code,reporters_with_exports,reporter_year_class_product_rows,hs6_products,trade_value
2000,H0,17,14031,4300,50490676132.905014
2000,H1,134,329061,5120,5766753849518.162
2001,H0,15,9817,3523,37398656574.65299
2001,H1,140,336968,5121,5594650286219.207
2002,H0,9,4877,2829,19819627386.947
2002,H1,63,86137,5107,340394677964.8779
2002,H2,84,269414,5222,5563699399996.74
2003,H0,10,5859,2952,40062621141.47299
2003,H1,43,56933,5036,265686851973.752
2003,H2,106,310174,5222,6615542793407.983
2004,H0,8,5876,3124,37296028428.991
2004,H1,31,37110,4990,257602297002.20496
2004,H2,121,336997,5221,8056573512670.578
2005,H0,6,3510,2566,10498827091.580002
2005,H1,22,29687,4953,235565384046.995
2005,H2,136,355207,5222,9217712398642.793
2006,H0,5,3323,2497,13366130667.321985
2006,H1,14,22467,4914,192965966999.457
2006,H2,142,371643,5222,10822940329742.781
2007,H0,5,3654,2618,14742139068.990013
2007,H1,14,18560,4844,171341990204.197
2007,H2,68,116371,5206,1325806172713.3013
2007,H3,78,253927,5050,11184439084549.512
2008,H0,1,772,772,307727006.0
2008,H1,11,12184,4604,144566261239.983
2008,H2,42,55615,5179,1047416431092.949
2008,H3,110,325162,5050,13486939831720.229
2009,H0,1,16,16,1202554.0
2009,H1,8,9189,4424,118550102113.37401
2009,H2,24,27978,4860,250229256182.47903
2009,H3,133,357963,5050,10787172246939.27
2010,H0,1,11,11,1647561.0
2010,H1,6,6980,3335,5400043343.48002
2010,H2,20,22280,4802,369246304174.805
2010,H3,142,370915,5050,13228547030584.332
2011,H0,1,12,12,881793.0
2011,H1,2,2522,1784,164483869.0
2011,H2,18,20139,4493,193165260141.63104
2011,H3,147,377544,5050,16272125589837.33
2012,H1,1,1065,1065,29004997.0
2012,H2,17,16296,4374,190434860987.978
2012,H3,51,72750,5017,986310289433.8641
2012,H4,101,318924,5203,15510361282192.258
2013,H1,1,1303,1303,358388116.9049994
2013,H2,12,13209,4306,185970558375.207
2013,H3,39,44343,4783,330494514449.62885
2013,H4,118,357399,5203,16797603168904.322
2014,H1,1,1299,1299,816287355.9169995
2014,H2,5,7937,3995,86335805296.682
2014,H3,26,25000,4202,168105213272.9339
2014,H4,135,377665,5203,16925520986667.8
2015,H2,3,4709,3241,59604780339.0
2015,H3,15,10307,3346,29806038868.057117
2015,H4,150,404347,5203,14797313222433.45
2016,H2,3,4754,3249,57308870215.0
2016,H3,13,8104,2749,16735506154.346996
2016,H4,154,407758,5203,14389108869507.627
2017,H2,3,2326,1965,1169636003.29
2017,H3,10,6768,2499,12735617794.91599
2017,H4,55,90349,5164,1657362930518.1208
2017,H5,103,333272,5385,14241476450483.732
2018,H2,2,1788,1752,477672753.36
2018,H3,8,5225,2318,11885968544.541
2018,H4,33,46376,5000,970212158831.3181
2018,H5,126,375461,5385,16657129351908.848
2019,H2,1,92,92,141422984.54999998
2019,H3,7,3793,1924,9417209945.472017
2019,H4,21,30696,4873,901328385395.5221
2019,H5,137,396595,5385,16359159541020.852
2020,H3,5,2021,1235,1980420163.7119997
2020,H4,13,19816,4623,630271077562.4967
2020,H5,145,395611,5385,15467319555482.084
2021,H3,5,3102,1664,2376873894.528
2021,H4,9,12658,4212,103841257286.02997
2021,H5,149,411151,5385,20124478893706.637
2022,H3,5,3988,2184,4440997509.1430025
2022,H4,5,6551,3178,15300679014.735012
2022,H5,37,61017,5083,466631371261.3957
2022,H6,113,361910,5610,21634442321422.934
2023,H3,2,1212,1033,1571038049.4749997
2023,H4,6,7285,3394,11161106679.707977
2023,H5,20,25256,4590,212147882150.67712
2023,H6,130,399904,5610,21100127023323.9
2024,H3,2,1922,1478,1507738489.5880013
2024,H4,3,4754,3074,59755315079.85393
2024,H5,8,7620,3574,28859144352.024036
2024,H6,121,383737,5610,20472367321248.094
